iupac,smiles,expt,calc,inchi,selfies,iupac_name,expt_cat,target_2,target_5
"1,2-diethoxyethane",CCOCCOCC,-3.54,-3.42,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",[C][C][O][C][C][O][C][C],"1,2-diethoxyethane",large,0,2
pentyl propanoate,CCCCCOC(=O)CC,-2.11,-2.176,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3",[C][C][C][C][C][O][C][=Branch1][C][=O][C][C],pentyl propanoate,very large,1,3
4-propylphenol,CCCc1ccc(cc1)O,-5.21,-5.211,"InChI=1S/C9H12O/c1-2-3-8-4-6-9(10)7-5-8/h4-7,10H,2-3H2,1H3",[C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],4-propylphenol,large,0,1
2-methylbut-2-ene,CC=C(C)C,1.31,2.272,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3",[C][C][=C][Branch1][C][C][C],2-methylbut-2-ene,very large,1,4
"1,2-dichloroethane",C(CCl)Cl,-1.79,-0.363,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,[C][Branch1][Ring1][C][Cl][Cl],"1,2-dichloroethane
1,2-dichloroethyne",very large,1,3
"3,3-dimethylpentane",CCC(C)(C)CC,2.56,2.593,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3",[C][C][C][Branch1][C][C][Branch1][C][C][C][C],"3,3-dimethylpentane",very large,1,4
"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C,-2.78,-2.953,"InChI=1S/C12H12/c1-9-7-11-5-3-4-6-12(11)8-10(9)2/h3-8H,1-2H3",[C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C],"2,3-dimethylnaphthalene",large,1,2
"2,6-dimethylpyridine",Cc1cccc(n1)C,-4.59,-3.443,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",[C][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C],"2,6-dimethylpyridine",large,0,1
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(C(Cl)Cl)(F)F,-1.12,-0.685,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3",[C][O][C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Branch1][C][F][F],"2,2-dichloro-1,1-difluoro-1-methoxyethane",very large,1,3
2-ethoxyethyl acetate,CCOCCOC(=O)C,-5.31,-5.751,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",[C][C][O][C][C][O][C][=Branch1][C][=O][C],2-ethoxyethyl acetate,large,0,1
3-methoxyaniline,COc1cccc(c1)N,-7.29,-7.201,"InChI=1S/C7H9NO/c1-9-7-4-2-3-6(8)5-7/h2-5H,8H2,1H3",[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N],3-methoxyaniline,large,0,0
pyridine-3-carbaldehyde,c1cc(cnc1)C=O,-7.1,-7.425,InChI=1S/C6H5NO/c8-5-6-2-1-3-7-4-6/h1-5H,[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][=O],pyridine-3-carbaldehyde,large,0,0
2-methylbutan-2-ol,CCC(C)(C)O,-4.43,-2.933,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",[C][C][C][Branch1][C][C][Branch1][C][C][O],2-methylbutan-2-ol,large,0,1
alachlor,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,-6.851,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",[C][C][C][=C][C][=C][C][=Branch1][S][=C][Ring1][=Branch1][N][Branch1][Ring2][C][O][C][C][=Branch1][C][=O][C][Cl][C][C],"2-chloro-n-(2,6-diethylphenyl)-n-(methoxymethyl)acetamide",medium,0,0
1-methylpyrrole,Cn1cccc1,-2.89,-2.374,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",[C][N][C][=C][C][=C][Ring1][Branch1],1-methylpyrrole,large,1,2
dimethoxymethane,COCOC,-2.93,-3.221,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",[C][O][C][O][C],dimethoxymethane,large,1,2
pentan-3-ol,CCC(CC)O,-4.35,-2.786,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",[C][C][C][Branch1][Ring1][C][C][O],pentan-3-ol,large,0,1
undecan-2-one,CCCCCCCCCC(=O)C,-2.15,-2.201,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C],undecan-2-one,very large,1,3
1-bromo-2-chloro-ethane,C(CBr)Cl,-1.95,-0.8,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,[C][Branch1][Ring1][C][Br][Cl],"1-bromo-2-chloroethyne
1-bromo-2-chloroethane",very large,1,3
iodobenzene,c1ccc(cc1)I,-1.74,-1.057,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][I],iodobenzene,very large,1,3
"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C1)(C)C,-5.18,-4.088,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",[C][C][=C][C][=Branch1][C][=O][C][C][Branch1][Ring2][C][Ring1][#Branch1][Branch1][C][C][C],"3,5,5-trimethylcyclohex-2-en-1-one",large,0,1
iodoethane,CCI,-0.74,-0.609,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3",[C][C][I],iodoethane,very large,1,4
4-propylguaiacol,CCCc1ccc(c(c1)OC)O,-5.26,-4.127,"InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3",[C][C][C][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O],2-methoxy-4-propylphenol,large,0,1
2-bromopropane,CC(C)Br,-0.48,0.448,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",[C][C][Branch1][C][C][Br],2-bromopropane,very large,1,4
1-bromo-4-methyl-benzene,Cc1ccc(cc1)Br,-1.39,-0.894,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br],1-bromo-4-methylbenzene,very large,1,3
methylsulfonylmethane,CS(=O)(=O)C,-10.08,-10.559,"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3",[C][S][=Branch1][C][=O][=Branch1][C][=O][C],methylsulfonylmethane,medium,0,0
3-ethylphenol,CCc1cccc(c1)O,-6.25,-5.272,"InChI=1S/C8H10O/c1-2-7-4-3-5-8(9)6-7/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],3-ethylphenol,large,0,0
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,-3.257,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10+/m1/s1",[C][C][=C][C][C@H1][Branch1][=Branch1][C][C@@H1][Ring1][=Branch1][O][C][=Branch1][C][=C][C],"(1s,5r)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol",large,0,1
"1,4-dibromobenzene",c1cc(ccc1Br)Br,-2.3,-1.091,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Br][Br],"1,4-dibromobenzene",very large,1,3
dicamba,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,-8.658,"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)",[C][O][C][=C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Cl][Cl],"3,6-dichloro-2-methoxybenzoic acid",medium,0,0
pent-2-ene,CC/C=C\C,1.31,2.374,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-",[C][C][/C][=C][\C],(z)-pent-2-ene,very large,1,4
ethane,CC,1.83,2.465,InChI=1S/C2H6/c1-2/h1-2H3,[C][C],ethane,very large,1,4
"1,2-dimethoxybenzene",COc1ccccc1OC,-5.33,-4.055,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C],"1,2-dimethoxybenzene",large,0,1
ethylsulfanylethane,CCSCC,-1.46,0.299,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",[C][C][S][C][C],ethylsulfanylethane,very large,1,3
"3,4-dichlorophenol",c1cc(c(cc1O)Cl)Cl,-7.29,-5.139,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][Cl][Cl],"3,4-dichlorophenol",large,0,0
anisole,COc1ccccc1,-2.45,-2.318,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],methoxybenzene,large,1,3
"2,5-dimethylphenol",Cc1ccc(c(c1)O)C,-5.91,-5.014,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],"2,5-dimethylphenol",large,0,1
"1,4-dichlorobenzene",c1cc(ccc1Cl)Cl,-1.01,-0.19,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],"1,4-dichlorobenzene",very large,1,3
chloro-fluoro-methane,C(F)Cl,-0.77,-0.171,InChI=1S/CH2ClF/c2-1-3/h1H2,[C][Branch1][C][F][Cl],chloro-fluoromethane,very large,1,4
pent-1-ene,CCCC=C,1.68,2.532,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",[C][C][C][C][=C],pent-1-ene,very large,1,4
"1,2,3,4-tetrachlorobenzene",c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,-0.304,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,[C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],"1,2,3,4-tetrachlorobenzene",very large,1,3
chlorobenzene,c1ccc(cc1)Cl,-1.12,-0.475,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],chlorobenzene,very large,1,3
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,-7.873,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3",[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"2-[di(phenyl)methoxy]-n,n-dimethylethanamine",medium,0,0
pentanal,CCCCC=O,-3.03,-2.927,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",[C][C][C][C][C][=O],pentanal,large,1,2
diphenyl ether,c1ccc(cc1)Oc2ccccc2,-2.87,-2.81,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],phenoxybenzene,large,1,2
cyclohexanone,C1CCC(=O)CC1,-4.91,-4.18,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,[C][C][C][C][=Branch1][C][=O][C][C][Ring1][#Branch1],cyclohexanone,large,0,1
1-nitrobutane,CCCC[N+](=O)[O-],-3.09,-1.449,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3",[C][C][C][C][N+1][=Branch1][C][=O][O-1],"1-nitrobutane
n-hydroxybutan-1-amine oxide
n-butyl-n-oxidohydroxylamine",large,1,2
pyridine-4-carbaldehyde,c1cnccc1C=O,-7.0,-7.338,InChI=1S/C6H5NO/c8-5-6-1-3-7-4-2-6/h1-5H,[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=O],pyridine-4-carbaldehyde,large,0,0
1-chloro-2-(2-chloroethoxy)ethane,C(CCl)OCCCl,-4.23,-2.248,InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2,[C][Branch1][Ring1][C][Cl][O][C][C][Cl],1-chloro-2-(2-chloroethoxy)ethane,large,0,2
1-nitroethane,CC[N+](=O)[O-],-3.71,-1.839,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",[C][C][N+1][=Branch1][C][=O][O-1],"ethyl-dihydroxyazanium
n,n-dihydroxyethanamine
1-nitroethane",large,0,2
3-chloropyridine,c1cc(cnc1)Cl,-4.01,-2.767,InChI=1S/C5H4ClN/c6-5-2-1-3-7-4-5/h1-4H,[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][Cl],3-chloropyridine,large,0,2
bromomethane,CBr,-0.82,0.46,InChI=1S/CH3Br/c1-2/h1H3,[C][Br],bromomethane,very large,1,3
methanol,CO,-5.1,-3.491,"InChI=1S/CH4O/c1-2/h2H,1H3",[C][O],methanol,large,0,1
heptanal,CCCCCCC=O,-2.67,-2.704,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",[C][C][C][C][C][C][C][=O],heptanal,large,1,3
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,-1.226,InChI=1S/C12H6Cl4/c13-7-3-1-4-8(14)11(7)12-9(15)5-2-6-10(12)16/h1-6H,[C][=C][C][=Branch2][Ring1][#Branch1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl][Cl],"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",very large,1,3
2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2",[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][N+1][=Branch1][C][=O][O-1],2-nitroaniline,large,0,0
1-methylpiperidine,CN1CCCCC1,-3.88,-3.467,"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",[C][N][C][C][C][C][C][Ring1][=Branch1],1-methylpiperidine,large,0,2
octanal,CCCCCCCC=O,-2.29,-2.57,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",[C][C][C][C][C][C][C][C][=O],octanal,very large,1,3
nitrobenzene,c1ccc(cc1)[N+](=O)[O-],-4.12,-3.46,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],"nitrobenzene
n-oxido-n-phenylhydroxylamine
n,n-dihydroxyaniline",large,0,2
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1",[C][C@@H1][C][C][C@H1][Branch1][Branch2][C][=Branch1][C][=O][C][Ring1][#Branch1][C][Branch1][C][C][C],"(2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-one",large,1,3
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,-18.095,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1",[C][Branch2][Ring1][Branch1][C@@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][O][O][O][O],"(2r,3r,4s,5s,6r)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",very small,0,0
fluoromethane,CF,-0.22,0.881,InChI=1S/CH3F/c1-2/h1H3,[C][F],fluoromethane,very large,1,4
methylsulfinylmethane,CS(=O)C,-9.28,-8.243,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,[C][S][=Branch1][C][=O][C],methylsulfinylmethane,medium,0,0
dibenzo-p-dioxin,c1ccc2c(c1)Oc3ccccc3O2,-3.15,-4.9,InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][O],oxanthrene,large,1,2
2-methylaniline,Cc1ccccc1N,-5.53,-5.325,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N],2-methylaniline,large,0,1
1-bromobutane,CCCCBr,-0.4,0.705,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",[C][C][C][C][Br],1-bromobutane,very large,1,4
nonan-1-ol,CCCCCCCCCO,-3.88,-2.564,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",[C][C][C][C][C][C][C][C][C][O],nonan-1-ol,large,0,2
4-methylpyridine,Cc1ccncc1,-4.93,-3.343,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",[C][C][=C][C][=N][C][=C][Ring1][=Branch1],4-methylpyridine,large,0,1
"1,1,2,2-tetrachloroethylene",C(=C(Cl)Cl)(Cl)Cl,0.1,1.328,InChI=1S/C2Cl4/c3-1(4)2(5)6,[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],"1,1,2,2-tetrachloroethene",very large,1,4
2-bromo-2-methyl-propane,CC(C)(C)Br,0.84,0.438,"InChI=1S/C4H9Br/c1-4(2,3)5/h1-3H3",[C][C][Branch1][C][C][Branch1][C][C][Br],2-bromo-2-methylpropane,very large,1,4
"1,1-diphenylethene",C=C(c1ccccc1)c2ccccc2,-2.78,-2.47,"InChI=1S/C14H12/c1-12(13-8-4-2-5-9-13)14-10-6-3-7-11-14/h2-11H,1H2",[C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1-phenylethenylbenzene,large,1,2
1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.95,-0.575,"InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3",[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1-ethyl-4-methylbenzene,very large,1,3
3-methylpyridine,Cc1cccnc1,-4.77,-3.221,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",[C][C][=C][C][=C][N][=C][Ring1][=Branch1],3-methylpyridine,large,0,1
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73,-5.436,"InChI=1S/C6H14O4/c1-7-5-6(8-2,9-3)10-4/h5H2,1-4H3",[C][O][C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],"1,1,1,2-tetramethoxyethane",large,0,1
9H-fluorene,c1ccc-2c(c1)Cc3c2cccc3,-3.35,-4.269,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1],9h-fluorene,large,1,2
acetamide,CC(=O)N,-9.71,-8.82,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",[C][C][=Branch1][C][=O][N],acetamide,medium,0,0
dimethyl sulfate,COS(=O)(=O)OC,-5.1,-8.411,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C],dimethyl sulfate,large,0,1
"1,1,2,2-tetrachloroethane",C(C(Cl)Cl)(Cl)Cl,-2.37,-0.534,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],"1,1,2,2-tetrachloroethane",large,1,3
methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-3.3,-4.376,"InChI=1S/C8H14O2/c1-10-8(9)7-5-3-2-4-6-7/h7H,2-6H2,1H3",[C][O][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],methyl cyclohexanecarboxylate,large,1,2
1-bromohexane,CCCCCCBr,0.18,1.076,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3",[C][C][C][C][C][C][Br],1-bromohexane,very large,1,4
1-bromoheptane,CCCCCCCBr,0.34,1.223,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",[C][C][C][C][C][C][C][Br],1-bromoheptane,very large,1,4
1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.473,InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][O][Cl],1-chlorooxanthrene,large,0,2
2-chlorobutane,CC[C@H](C)Cl,0.0,0.927,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3/t4-/m0/s1",[C][C][C@H1][Branch1][C][C][Cl],(2s)-2-chlorobutane,very large,1,4
hexylbenzene,CCCCCCc1ccccc1,-0.04,-0.1,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",[C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],hexylbenzene,very large,1,4
2-chlorosyringaldehyde,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,-8.292,"InChI=1S/C9H9ClO4/c1-13-6-3-5(4-11)7(10)9(14-2)8(6)12/h3-4,12H,1-2H3",[C][O][C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][C][=O],"2-chloro-4-hydroxy-3,5-dimethoxybenzaldehyde",large,0,0
m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,-0.34,"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H",[C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],"1,3-bis(trifluoromethyl)benzene",very large,1,4
1-benzylimidazole,c1ccc(cc1)Cn2ccnc2,-7.63,-7.997,"InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=C][N][=C][Ring1][Branch1],1-(phenylmethyl)imidazole,large,0,0
naphthalen-1-amine,c1ccc2c(c1)cccc2N,-7.28,-7.777,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch1][N],naphthalen-1-amine,large,0,0
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.0,-6.716,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C],diethyl propanedioate,large,0,1
1-cyclopropylethanone,CC(=O)C1CC1,-4.61,-3.043,"InChI=1S/C5H8O/c1-4(6)5-2-3-5/h5H,2-3H2,1H3",[C][C][=Branch1][C][=O][C][C][C][Ring1][Ring1],1-cyclopropylethanone,large,0,1
pyrrole,c1cc[nH]c1,-4.78,-4.014,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,[C][C][=C][NH1][C][=Ring1][Branch1],1h-pyrrole,large,0,1
diflunisal,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)",[C][=C][C][=Branch2][Ring1][=Branch2][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][F][C][=Branch1][C][=O][O][O],"5-(2,4-difluorophenyl)-2-hydroxybenzoic acid",medium,0,0
"1,4-dimethylcyclohexane",CC1CCC(CC1)C,2.11,1.918,"InChI=1S/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3",[C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C],"1,4-dimethylcyclohexane",very large,1,4
cyclohexanol,C1CCC(CC1)O,-5.46,-4.178,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O],cyclohexanol,large,0,1
4-fluorophenol,c1cc(ccc1O)F,-6.19,-4.955,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][F],4-fluorophenol,large,0,1
2-chloroaniline,c1ccc(c(c1)N)Cl,-4.91,-4.847,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Cl],2-chloroaniline,large,0,1
